ontology,ontology_code,ontology_comment,secondary_ontology,secondary_ontology_code,secondary_ontology_comment,snomed_vartype,ES LAFE,IL HMC,dataset,name,description,vartype,ETL_type,details,example,JSON_values,Doubts_Ana
snomed ct,422549004,,,,,,1,1,Baseline_Clinical_Table.xlsx,Patient ID,Patient identified number,STR,STR,Alphanumeric with dash format,,,
snomed ct,184099003 : 258707000,,,,,,1,1,Baseline_Clinical_Table.xlsx,YOB,Year of birth,INT,INT,,,,
snomed ct,734000001,,,,,,1,1,Baseline_Clinical_Table.xlsx,Sex,Sex,STR,category?,{M} Male\\{F} Female,,"[{""value"": ""M"", ""explanation"": ""Male"", ""snomed_ct"": ""248153007""}, {""value"": ""F"", ""explanation"": ""Female,"" ""snomed_ct"": ""248152002""}]",
snomed ct,364699009 : 66839005,,,,,,0,1,Baseline_Clinical_Table.xlsx,Porigin,Paternal Ethnic origin,STR,category?,,,"[{'value': 'ASH', 'explanation': 'Ashkenazi Jewish', 'orphanet': '81706006'}, {'value': 'NA', 'explanation': 'North African Jewish', 'orphanet': '397731000 : 160543007 = 275586009'}, {'value': 'O', 'explanation': 'Oriental Jewish', 'orphanet': '51827000'}, {'value': 'Y', 'explanation': 'Yemenite Jewish', 'orphanet': '397731000 : 160543007 = 315590007'}, {'value': 'Et', 'explanation': 'Ethiopian Jewish', 'orphanet': '397731000 : 160543007 = 315424008'}, {'value': 'S', 'explanation': 'Syrian Jewish', 'orphanet': '397731000 : 160543007 = 59487007'}, {'value': 'B', 'explanation': 'Buchara Jewish', 'orphanet': '397731000 : 160543007 = 223579001'}, {'value': 'BU', 'explanation': 'Bulgaria Jewish', 'orphanet': '397731000 : 160543007 = 29343004'}, {'value': 'I', 'explanation': 'Indian Jewish', 'orphanet': '397731000 : 160543007 = 64483007'}, {'value': 'IS', 'explanation': 'Isreali Jewish', 'orphanet': '397731000 : 160543007 = 315449007'}, {'value': 'M', 'explanation': 'Mix Jewish', 'orphanet': '397731000 : 160543007 = 160551005'}, {'value': 'MR', 'explanation': 'Mixed religion', 'orphanet': '160551005'}, {'value': 'G', 'explanation': 'Georgian Jewish', 'orphanet': '397731000 : 160543007 = 32045009'}, {'value': 'Gr', 'explanation': 'Greece Jewish', 'orphanet': '397731000 : 160543007 = 1451003'}, {'value': 'T', 'explanation': 'Turkish Jewish', 'orphanet': '397731000 : 160543007 = 44460002'}, {'value': 'Eg', 'explanation': 'Egyptian Jewish', 'orphanet': '397731000 : 160543007 = 1919006'}, {'value': 'U', 'explanation': 'Unknown', 'orphanet': '261665006'}, {'value': 'AM', 'explanation': 'Arab Muslim', 'orphanet': '397731000 : 90027003 = 309884000'}, {'value': 'B', 'explanation': 'Bedouin', 'orphanet': '154182006'}, {'value': 'AC', 'explanation': 'Arab Christian', 'orphanet': '397731000 : 90027003 = 276116000'}]",
snomed ct,364699009 : 72705000,,,,,,0,1,Baseline_Clinical_Table.xlsx,Morigin,Maternal Ethnic origin,STR,category?,,,"[{'value': 'ASH', 'explanation': 'Ashkenazi Jewish', 'orphanet': '81706006'}, {'value': 'NA', 'explanation': 'North African Jewish', 'orphanet': '397731000 : 160543007 = 275586009'}, {'value': 'O', 'explanation': 'Oriental Jewish', 'orphanet': '51827000'}, {'value': 'Y', 'explanation': 'Yemenite Jewish', 'orphanet': '397731000 : 160543007 = 315590007'}, {'value': 'Et', 'explanation': 'Ethiopian Jewish', 'orphanet': '397731000 : 160543007 = 315424008'}, {'value': 'S', 'explanation': 'Syrian Jewish', 'orphanet': '397731000 : 160543007 = 59487007'}, {'value': 'B', 'explanation': 'Buchara Jewish', 'orphanet': '397731000 : 160543007 = 223579001'}, {'value': 'BU', 'explanation': 'Bulgaria Jewish', 'orphanet': '397731000 : 160543007 = 29343004'}, {'value': 'I', 'explanation': 'Indian Jewish', 'orphanet': '397731000 : 160543007 = 64483007'}, {'value': 'IS', 'explanation': 'Isreali Jewish', 'orphanet': '397731000 : 160543007 = 315449007'}, {'value': 'M', 'explanation': 'Mix Jewish', 'orphanet': '397731000 : 160543007 = 160551005'}, {'value': 'MR', 'explanation': 'Mixed religion', 'orphanet': '160551005'}, {'value': 'G', 'explanation': 'Georgian Jewish', 'orphanet': '397731000 : 160543007 = 32045009'}, {'value': 'Gr', 'explanation': 'Greece Jewish', 'orphanet': '397731000 : 160543007 = 1451003'}, {'value': 'T', 'explanation': 'Turkish Jewish', 'orphanet': '397731000 : 160543007 = 44460002'}, {'value': 'Eg', 'explanation': 'Egyptian Jewish', 'orphanet': '397731000 : 160543007 = 1919006'}, {'value': 'U', 'explanation': 'Unknown', 'orphanet': '261665006'}, {'value': 'AM', 'explanation': 'Arab Muslim', 'orphanet': '397731000 : 90027003 = 309884000'}, {'value': 'B', 'explanation': 'Bedouin', 'orphanet': '154182006'}, {'value': 'AC', 'explanation': 'Arab Christian', 'orphanet': '397731000 : 90027003 = 276116000'}]",
snomed ct,782964007,,,,,,1,1,Baseline_Clinical_Table.xlsx,Dx,Clinical diagnosis,STR,STR,"LAFE will provide OrphaNet codes, HMC will provide abbreviations that need to be mapped to Orphanet according to the JSON field mapping.",,"[{'value': 'ABL', 'explanation': 'Abetalipoproteinemia', 'orphanet': 'ORPHA:14'}, {'value': 'ACHM', 'explanation': 'Achromatopsia', 'orphanet': 'ORPHA:49382'}, {'value': 'ALMS', 'explanation': 'Alström syndrome', 'orphanet': 'ORPHA:64'}, {'value': 'BBS', 'explanation': 'Bardet-Biedl syndrome', 'orphanet': 'ORPHA:110'}, {'value': 'BVMD', 'explanation': 'Best vitelliform macular dystrophy / bestrophinopathy', 'orphanet': 'ORPHA:1243'}, {'value': 'BCD', 'explanation': 'Bietti crystalline retinal dystrophy', 'orphanet': 'ORPHA:41751'}, {'value': 'BCM', 'explanation': 'Blue-cone monochromacy', 'orphanet': 'ORPHA:16'}, {'value': 'CACD', 'explanation': 'Central areolar choroidal dystrophy', 'orphanet': 'ORPHA:75377'}, {""value"": ""CHM"", ""explanation"": ""Choroideremia"", ""orphanet"": ""ORPHA:180""}, {""value"": ""CD"", ""explanation"": ""Cone dystrophy"", ""orphanet"": ""ORPHA:1871""}, {""value"": ""CDSRR"", ""explanation"": ""Cone dystrophy with supernormal rod response"", ""orphanet"": ""ORPHA:209932""}, {""value"": ""CRD"", ""explanation"": ""Cone-rod dystrophy"", ""orphanet"": ""ORPHA:1872""}, {""value"": ""CRDHL"", ""explanation"": ""Cone-rod dystrophy and hearing loss"", ""orphanet"": """"}, {""value"": ""CSNB"", ""explanation"": ""Congenital stationary night blindness"", ""orphanet"": ""ORPHA:75382""}, {""value"": ""DHRD"", ""explanation"": ""Doyne honeycomb retinal degeneration"", ""orphanet"": ""ORPHA:75376""}, {""value"": ""ESCS"", ""explanation"": ""Enhanced S-cone syndrome"", ""orphanet"": ""ORPHA:53540""}, {""value"": ""FEVR"", ""explanation"": ""Familial exudative vitreoretinopathy"", ""orphanet"": ""ORPHA:891""}, {""value"": ""FA"", ""explanation"": ""Fundus albipunctatus"", ""orphanet"": ""ORPHA:227796""}, {""value"": ""GFS"", ""explanation"": ""Goldmann-Favre syndrome"", ""orphanet"": ""ORPHA:53540""}, {""value"": ""HARP"", ""explanation"": ""Hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration"", ""orphanet"": ""ORPHA:157855""}, {""value"": ""JBTS"", ""explanation"": ""Joubert syndrome"", ""orphanet"": ""ORPHA:475""}, {""value"": ""KSS"", ""explanation"": ""Kearns-Sayre syndrome"", ""orphanet"": ""ORPHA:480""}, {""value"": ""KNO"", ""explanation"": ""Knobloch syndrome"", ""orphanet"": ""ORPHA:1571""}, {""value"": ""LCA"", ""explanation"": ""Leber congenital amaurosis"", ""orphanet"": ""ORPHA:65""}, {""value"": ""MD"", ""explanation"": ""Maculopathy"", ""orphanet"": ""ORPHA:519302""}, {""value"": ""ND"", ""explanation"": ""Norrie disease"", ""orphanet"": ""ORPHA:649""}, {""value"": ""RP"", ""explanation"": ""Retinitis pigmentosa"", ""orphanet"": ""ORPHA:791""}, {""value"": ""RPA"", ""explanation"": ""Retinitis punctata albescens"", ""orphanet"": ""ORPHA:52427""}, {""value"": ""RS"", ""explanation"": ""Retinoschisis"", ""orphanet"": ""ORPHA:792""}, {""value"": ""SLSN"", ""explanation"": ""Senior-Loken syndrome"", ""orphanet"": ""ORPHA:3156""}, {""value"": ""SFD"", ""explanation"": ""Sorsby fundus dystrophy"", ""orphanet"": ""ORPHA:59181""}, {""value"": ""STGD"", ""explanation"": ""Stargardt disease"", ""orphanet"": ""ORPHA:827""}, {""value"": ""USH"", ""explanation"": ""Usher syndrome"", ""orphanet"": ""ORPHA:886""}]",
snomed ct,445518008,,,,,,1,1,Baseline_Clinical_Table.xlsx,Onset,Age of disease Onset group,INT,INT,"LAFE provides age in years, while HMC provides age as a categoric variable with several values.",15,,What does this field means?
snomed ct,15188001,,,,,,1,1,Baseline_Clinical_Table.xlsx,HR,Hearing disability,STR,bool,{yes}\\{no},,"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}, {""value"": ""NO"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""YES"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",
,,to be defined after selection of comorbidities,,,,,1,1,Baseline_Clinical_Table.xlsx,Comorb,Other comorbidities,Boolean,bool,"Set of variables for different comorbidities, with indication {yes}\{no} for each one.\\Currently represented by one variable, but will be preplaced by multiple when the comorbidities set will be defined.",,,
snomed ct,422549004,,,,,,1,1,Genetic_Table.xlsx,Patient ID,Patient identified number,STR,STR,,,,
