entity;pathway
EEF1A1;Chaperone Mediated Autophagy
GFAP;Chaperone Mediated Autophagy
HSPA8;Chaperone Mediated Autophagy
LAMP2;Chaperone Mediated Autophagy
HSPA8;Late endosomal microautophagy
PRKAA2;Lipophagy
HSPA8;Lipophagy
VCP;Aggrephagy
PRKN;Aggrephagy
MFN2;PINK1-PRKN Mediated Mitophagy
VDAC1;PINK1-PRKN Mediated Mitophagy
SQSTM1;PINK1-PRKN Mediated Mitophagy
MTERF3;PINK1-PRKN Mediated Mitophagy
MFN1;PINK1-PRKN Mediated Mitophagy
PINK1;PINK1-PRKN Mediated Mitophagy
PRKN;PINK1-PRKN Mediated Mitophagy
ULK1;Receptor Mediated Mitophagy
FUNDC1;Receptor Mediated Mitophagy
PEX5;Pexophagy
ATM;Pexophagy
USP30;Pexophagy
NBR1;Pexophagy
SQSTM1;Pexophagy
MAP1LC3B;Pexophagy
STK11;Energy dependent regulation of mTOR by LKB1-AMPK
AMBRA1;Macroautophagy
ATG12;Macroautophagy
ATG10;Macroautophagy
ATG5;Macroautophagy
ATG16L1;Macroautophagy
ATG3;Macroautophagy
TSC2;TP53 Regulates Metabolic Genes
TSC1;TP53 Regulates Metabolic Genes
MAD1L1;Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
MAD2L1;Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
MAD2L1;Inactivation of APC/C via direct inhibition of the APC/C complex
BUB1B;Inactivation of APC/C via direct inhibition of the APC/C complex
BUB3;Inactivation of APC/C via direct inhibition of the APC/C complex
CDC20;Inactivation of APC/C via direct inhibition of the APC/C complex
BTRC;SCF-beta-TrCP mediated degradation of Emi1
FBXO5;Phosphorylation of Emi1
FBXO5;Regulation of APC/C activators between G1/S and early anaphase
CDC20;Regulation of APC/C activators between G1/S and early anaphase
CDC20;Phosphorylation of Emi1
PKMYT1;Polo-like kinase mediated events
PLK1;Regulation of PLK1 Activity at G2/M Transition
BORA;Regulation of PLK1 Activity at G2/M Transition
CDK1;Cyclin A/B1/B2 associated events during G2/M transition
CCNB2;Polo-like kinase mediated events
FOXM1;Polo-like kinase mediated events
MYBL2;Polo-like kinase mediated events
PLK1;Polo-like kinase mediated events
FOXM1;Cyclin A/B1/B2 associated events during G2/M transition
CDC25A;Polo-like kinase mediated events
EP300;Polo-like kinase mediated events
CDC25C;Cyclin A/B1/B2 associated events during G2/M transition
CDC25C;Polo-like kinase mediated events
CDC25C;TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
TP53;Regulation of TP53 Expression
PRDM1;Regulation of TP53 Expression
TOPBP1;Processing of DNA double-strand break ends
RHNO1;Processing of DNA double-strand break ends
TOPBP1;Presynaptic phase of homologous DNA pairing and strand exchange
RHNO1;Presynaptic phase of homologous DNA pairing and strand exchange
RAD51;Presynaptic phase of homologous DNA pairing and strand exchange
CHEK1;Processing of DNA double-strand break ends
CLSPN;Processing of DNA double-strand break ends
SUMO1;SUMO is proteolytically processed
SUMO1;SUMO is conjugated to E1 (UBA2:SAE1)
UBE2I;SUMO is transferred from E1 to E2 (UBE2I, UBC9)
RAD50;Sensing of DNA Double Strand Breaks
MRE11;Sensing of DNA Double Strand Breaks
KPNA2;Sensing of DNA Double Strand Breaks
NBN;Sensing of DNA Double Strand Breaks
ATM;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
ATM;Sensing of DNA Double Strand Breaks
ATM;DNA Damage/Telomere Stress Induced Senescence
H2AX;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
NSD2;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
