disease_name	acronym	omim_id affected_genes
Phenylketonuria	PKU	261600  PAH
Benign hyperphenylalaninemia	HPA	261600  PAH
Deficiency of the biosynthesis of the biopterin cofactor	BiOPT (BS)	261640  PTS
Deficit in the regeneration of the biopterin cofactor	BIOPT (REG)	261630  QDPR
Tyrosinemia type I	TYR I	276700  FAH
Tyrosinemia type II	TYR II	276600  TAT
Maple syrup urine disease	MSUD	248600  BCKDHA
Homocystinuria (CBS defect)	HCY	236200  CBS
Homocystinuria (severe MTHFR defect)	MTHFR	236250  MTHFR
Glutaric acidemia type I	GA I	231670  GCDH
Isovaleric acidemia	IVA	243500  IVD
Beta-ketothiola deficiency	BKT	203750  ACAT1
3-hydroxy 3-methylglutaric acidemia	HMG	246450  HMGCL
Propionic acidemia	PA	606054  PCCB,PCCA
Methylmaionic acidemia (Mut)	MUT	251000  MMUT
Methylmaionic acidemia (Cbl-A)	Cbl A	251100  MMAA
Methylmaionic acidemia (Cbl-B)	Cbl B	251110  MMAB
Methylmaionic acidemia with homocystinuria (Cbl C deficiency)	Cbl C	277400  MMACHC,PRDX1
Methylmaionic acidemia with homocystinuria (Cbl D deficiency)	CblD	277410  MMADHC
2-methylbutyryl-CoA dehydrogenase deficiency	2MBG	610006  ACADSB
Malonic aciduria	MAL	606761  ACSF3
Multiple carboxylase deficiency	MCD	253270  HLCS
Citrulinemia type I	CIT I	215700  ASS1
Cytrullinemia type II (Citrine deficiency)	CIT Il	605814
Argininosuccinic acidemia	ASA	207900  SLC25A13
Argininemia	ARG	207800  ARG1
Carnitine transport deficiency	CUD	212140  SLC22A5
Carnitine palmitoyltransferase deficiency	CPT Ia	255120  CPT1A
Carnitine-acylcarnitine translocase deficiency	CACT	212138  SLC25A20
Carnitine palmitoyltransferase deficiency	CPT II	600650  CPT2
Very long chain acetiyl-CoA dehydrogenase deficiency	VLCAD	609575  HADHA
Mitochondrial trifunctional protein deficiency	TFP	609015  HADHA
Long-chain 3-hydroxy-acyl-CoA dehydrogenase deficiency	LCHAD	609016  HADHA
Medium-chain acyl-CoA dehydrogenase deficiency	MCAD	201450  ACADM
Medium/short chain 3-hydroxy-acyl-CoA dehydrogenase deficiency	M/SCHAD	231530  HADHSC
Glutaric acidemia type II	GA ll/MADD	231680  ETFDH,ETFA,ETFB
