ontology;ontology_code;ontology_comment;secondary_ontology;secondary_ontology_code;secondary_ontology_comment;snomed_vartype;ES TERRASSA;DE UKK;IT BUZZI UC3;dataset;name;description;phenotypic;vartype;ETL_type;details;JSON_values;Synthetic Vartype;Probabilities;GeneratorParameters;IsMappingField;Synthetic Data Comments
snomed ct;422549004 |Patient-related Identification code|;;;;;;1;1;1;Clinical_Table.xlsx;ID_STUDY;STUDYID;no;Numeric;STR;Primary patient identifier;;ID;;"{""prefix"": ""UC3_""}";1;Random numbers with UC3_ prefix
snomed ct;422549004 |Patient-related Identification code|  : 258734002 |counts| = 81170007 |Second|;;;;;;1;1;1;Clinical_Table.xlsx;REDCAP_ID;REDCAP_ID;no;String;String;Patient identifier for merging with internal data sources;;ID;;"{""prefix"": ""REDCAP_""}";0;Random numbers with REDCAP_ prefix
snomed ct;734000001 |Biological sex|;;;;;;1;1;1;Clinical_Table.xlsx;GENDER;Biological Gender;yes;Bimodal;category;{M} Male\\{F} Female;"[{""value"": ""M"", ""explanation"": ""Male"", ""snomed_ct"": ""248153007""}, {""value"": ""F"", ""explanation"": ""Female"", ""snomed_ct"": ""248152002""}, {""value"": ""Other"", ""explanation"": ""Indeterminate sex"", ""snomed_ct"": ""32570681000036106""}]";Categorical;"{""M"":0.4, ""F"": 0.5,""Other"":0.1}";;0;Choice with probability
snomed ct;184099003 |Date of birth|;;;;;;1;1;1;Clinical_Table.xlsx;BIRTHDATE;DATEofBIRTH;yes;Date;Date;;;Date;;"{""start_date"":""01/01/1980"", ""end_date"":""31/12/2020"", ""format"":""%d/%m/%Y""}";0;At least 4 years old patients
snomed ct;422549004 |Patient-related Identification code| : 258734002 |counts| = 70905002 |Third|;;;;;;1;1;1;Clinical_Table.xlsx;ID_PATIENT;STUDYID;no;Numeric;Numeric;;;ID;;"{""prefix"": ""UC3_""}";0;Duplicated field?
snomed ct;224095004 |Number of siblings|;;;;;;1;1;1;Clinical_Table.xlsx;SIB_NUM;number of siblings;yes;numeric;;;;INT;;"{""min"":0, ""max"":4}";0;Random number between 0 and 4
snomed ct;224098002 |Place in family order|;;;;;;1;1;1;Clinical_Table.xlsx;SIB_R;rank in order of birth;yes;numeric;;;;INT;;"{""min"":0, ""max"":""SIB_NUM""}";0;Random number less or equal to number of siblings
snomed ct;780823005 |Number of dependant children|;;;;;;1;1;1;Clinical_Table.xlsx;CHIL;number of children;yes;numeric;;;;CHILDREN;;"{""dob"":""BIRTHDATE"", ""dob_format"":""%d/%m/%Y"",""min"":0, ""max"":4}";0;If patient > 18 years, random number between 0 and 4
snomed ct;406543005 |Date of visit|;;;;;;1;1;1;Clinical_Table.xlsx;VISIT_DATE;Date of visit;yes;Date;Date;;;Date;;"{""start_date"":""BIRTHDATE"",""end_date"":""01/01/2024"", ""format"":""%d/%m/%Y""}";0;Random date between birth date and today
snomed ct;397669002 |Age| : 408731000 |temporal context| = 406543005 |Date of visit|;;;;;;1;1;1;Clinical_Table.xlsx;AGE;AGE;yes;numeric;float;;;AGE;;"{""start_date"":""BIRTHDATE"", ""end_date"":""01/01/2024"",""format"":""%d/%m/%Y""}";0;Today - Birth Date
snomed ct;726527001 |Weight|;;;;;;1;1;1;Clinical_Table.xlsx;WEIGHT;Weight at the time of visit;yes;Numeric;float;g;;WEIGHT;;"{""date"":""VISIT_DATE"", ""format"":""%d/%m/%Y""}";0;Normal weigth according to age at visit date
snomed ct;271603002 |Height / growth measure|;;;;;;1;1;1;Clinical_Table.xlsx;HEIGHT;Height at the time of visit;yes;Numeric;float;cm;;HEIGHT;;"{""date"":""VISIT_DATE"", ""format"":""%d/%m/%Y""}";0;Normal heigth according to age at visit date
snomed ct;271649006 |Systolic blood pressure|;;;;;;1;1;1;Clinical_Table.xlsx;BP_SYST;Systolic blood pressure;no;INT;INT;;;INT;;"{""min"":100, ""max"":120}";0;Normal SBP
snomed ct;271650006 |Diastolic blood pressure|;;;;;;1;1;1;Clinical_Table.xlsx;BP_DIAST;Diastolic blood pressure;no;INT;INT;;;INT;;"{""min"":60, ""max"":90}";0;Normal SBP
snomed ct;307294006 |Personal history finding| : 246454002 |Occurrence|= 64572001 |Disease|;;;;;;1;1;1;Clinical_Table.xlsx;HMP;History of medical pathologies;yes;bimodal;bimodal;{yes} / {no};"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]";Categorical;;;0;Choice without probability
snomed ct;307294006 |Personal history finding| : 246454002 |Occurrence| = 74732009 |Mental disorder|;;;;;;1;1;1;Clinical_Table.xlsx;HPP;Histroy of psychiatric pathologies;yes;bimodal;bimodal;{yes} / {no};"[{""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""yes"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]";Categorical;;;0;Choice without probability
snomed ct;106167005 |Consciousness related finding|;;;;;;1;1;1;Clinical_Table.xlsx;AMDP_C;Consciousness;no;categorical;;0=consciously clear, 1=Lowered Vigilance, 2=Clouded Consciousness, 3=Narrowed Consciousness;"[{""value"": ""0"", ""explanation"": ""consciously clear"", ""snomed_ct"": ""271591004 |Fully conscious|""}, {""value"": ""1"", ""explanation"": ""Lowered Vigilance"", ""snomed_ct"": ""3006004 |Disturbance of consciousness| : 734841007 |Name| = \""Lowered Vigilance\""""}, {""value"": ""2"", ""explanation"": ""Clouded Consciousness"", ""snomed_ct"": ""40917007 |Clouded consciousness|""}, {""value"": ""3"", ""explanation"": ""Narrowed Consciousness"", ""snomed_ct"": ""3006004 |Disturbance of consciousness| : 734841007 |Name| = \""Narrowed Consciousness\""""}]";Categorical;;;0;Choice without probability
snomed ct;43173001 |Orientation, function|;;;;;;1;1;1;Clinical_Table.xlsx;AMDP_O;Orientation;no;categorical;;0=orientated. 1=Disorientation for Time, 2=Disorientation for Place, 3=Disorientation for Situation, 4=Disorientation for Person;"[{""value"": ""0"", ""explanation"": ""orientated"", ""snomed_ct"": ""247663003 |Orientated|""}, {""value"": ""1"", ""explanation"": ""Disorientation for Time"", ""snomed_ct"": ""19657006 |Disorientated in time|""}, {""value"": ""2"", ""explanation"": ""Disorientation for Place"", ""snomed_ct"": ""72440003 |Disorientated in place|""}, {""value"": ""3"", ""explanation"": ""Disorientation for Situation"", ""snomed_ct"": ""39538002 |Disorientation to person, time and place|""}, {""value"": ""4"", ""explanation"": ""Disorientation for Person"", ""snomed_ct"": ""62766000 |Disorientation for person|""}]";Categorical;;;0;Choice without probability
