ontology,ontology_code,profile,dataset,name,description,visibility,ETL_type
hgnc,ENSG00000267336,GENOMIC,htseq_counts.csv,ENSG00000267336.1,,PUBLIC,integer
hgnc,ENSG00000232337,GENOMIC,htseq_counts.csv,ENSG00000232337.1,,PUBLIC,integer
hgnc,ENSG00000213397,GENOMIC,htseq_counts.csv,ENSG00000213397.12,,PUBLIC,integer
hgnc,ENSG00000260641,GENOMIC,htseq_counts.csv,ENSG00000260641.1,,PUBLIC,integer
hgnc,ENSG00000085721,GENOMIC,htseq_counts.csv,ENSG00000085721.13,,PUBLIC,integer
hgnc,ENSG00000150477,GENOMIC,htseq_counts.csv,ENSG00000150477.15,,PUBLIC,integer
hgnc,ENSG00000174429,GENOMIC,htseq_counts.csv,ENSG00000174429.4,,PUBLIC,integer
hgnc,ENSG00000231630,GENOMIC,htseq_counts.csv,ENSG00000231630.1,,PUBLIC,integer
hgnc,ENSG00000282033,GENOMIC,htseq_counts.csv,ENSG00000282033.1,,PUBLIC,integer
hgnc,ENSG00000229081,GENOMIC,htseq_counts.csv,ENSG00000229081.1,,PUBLIC,integer
hgnc,ENSG00000237234,GENOMIC,htseq_counts.csv,ENSG00000237234.7,,PUBLIC,integer
hgnc,ENSG00000188991,GENOMIC,htseq_counts.csv,ENSG00000188991.3,,PUBLIC,integer
hgnc,ENSG00000160180,GENOMIC,htseq_counts.csv,ENSG00000160180.17,,PUBLIC,integer
hgnc,ENSG00000214021,GENOMIC,htseq_counts.csv,ENSG00000214021.16,,PUBLIC,integer
hgnc,ENSG00000259305,GENOMIC,htseq_counts.csv,ENSG00000259305.6,,PUBLIC,integer
hgnc,ENSG00000234931,GENOMIC,htseq_counts.csv,ENSG00000234931.1,,PUBLIC,integer
hgnc,ENSG00000163687,GENOMIC,htseq_counts.csv,ENSG00000163687.14,,PUBLIC,integer
hgnc,ENSG00000174529,GENOMIC,htseq_counts.csv,ENSG00000174529.7,,PUBLIC,integer
hgnc,ENSG00000261192,GENOMIC,htseq_counts.csv,ENSG00000261192.1,,PUBLIC,integer
hgnc,ENSG00000287792,GENOMIC,htseq_counts.csv,ENSG00000287792.1,,PUBLIC,integer
hgnc,ENSG00000168916,GENOMIC,htseq_counts.csv,ENSG00000168916.16,,PUBLIC,integer
hgnc,ENSG00000215016,GENOMIC,htseq_counts.csv,ENSG00000215016.2,,PUBLIC,integer
hgnc,ENSG00000286971,GENOMIC,htseq_counts.csv,ENSG00000286971.1,,PUBLIC,integer
hgnc,ENSG00000271855,GENOMIC,htseq_counts.csv,ENSG00000271855.1,,PUBLIC,integer
hgnc,ENSG00000275630,GENOMIC,htseq_counts.csv,ENSG00000275630.1,,PUBLIC,integer
hgnc,ENSG00000267284,GENOMIC,htseq_counts.csv,ENSG00000267284.2,,PUBLIC,integer
hgnc,ENSG00000130589,GENOMIC,htseq_counts.csv,ENSG00000130589.16,,PUBLIC,integer
hgnc,ENSG00000225129,GENOMIC,htseq_counts.csv,ENSG00000225129.1,,PUBLIC,integer
hgnc,ENSG00000261638,GENOMIC,htseq_counts.csv,ENSG00000261638.2,,PUBLIC,integer
hgnc,ENSG00000124224,GENOMIC,htseq_counts.csv,ENSG00000124224.17,,PUBLIC,integer
hgnc,ENSG00000223703,GENOMIC,htseq_counts.csv,ENSG00000223703.1,,PUBLIC,integer
hgnc,ENSG00000279130,GENOMIC,htseq_counts.csv,ENSG00000279130.1,,PUBLIC,integer
hgnc,ENSG00000286050,GENOMIC,htseq_counts.csv,ENSG00000286050.1,,PUBLIC,integer
hgnc,ENSG00000286494,GENOMIC,htseq_counts.csv,ENSG00000286494.1,,PUBLIC,integer
hgnc,ENSG00000171695,GENOMIC,htseq_counts.csv,ENSG00000171695.11,,PUBLIC,integer
hgnc,ENSG00000261329,GENOMIC,htseq_counts.csv,ENSG00000261329.6,,PUBLIC,integer
hgnc,ENSG00000271780,GENOMIC,htseq_counts.csv,ENSG00000271780.1,,PUBLIC,integer
hgnc,ENSG00000226500,GENOMIC,htseq_counts.csv,ENSG00000226500.2,,PUBLIC,integer
hgnc,ENSG00000137154,GENOMIC,htseq_counts.csv,ENSG00000137154.13,,PUBLIC,integer
hgnc,ENSG00000157823,GENOMIC,htseq_counts.csv,ENSG00000157823.17,,PUBLIC,integer
hgnc,ENSG00000153132,GENOMIC,htseq_counts.csv,ENSG00000153132.13,,PUBLIC,integer
hgnc,ENSG00000274355,GENOMIC,htseq_counts.csv,ENSG00000274355.1,,PUBLIC,integer
hgnc,ENSG00000163535,GENOMIC,htseq_counts.csv,ENSG00000163535.18,,PUBLIC,integer
hgnc,ENSG00000120436,GENOMIC,htseq_counts.csv,ENSG00000120436.4,,PUBLIC,integer
hgnc,ENSG00000250141,GENOMIC,htseq_counts.csv,ENSG00000250141.1,,PUBLIC,integer
hgnc,ENSG00000105058,GENOMIC,htseq_counts.csv,ENSG00000105058.12,,PUBLIC,integer
hgnc,ENSG00000175054,GENOMIC,htseq_counts.csv,ENSG00000175054.16,,PUBLIC,integer
hgnc,ENSG00000171425,GENOMIC,htseq_counts.csv,ENSG00000171425.10,,PUBLIC,integer
hgnc,ENSG00000251359,GENOMIC,htseq_counts.csv,ENSG00000251359.4,,PUBLIC,integer
hgnc,ENSG00000067064,GENOMIC,htseq_counts.csv,ENSG00000067064.12,,PUBLIC,integer
hgnc,ENSG00000263279,GENOMIC,htseq_counts.csv,ENSG00000263279.1,,PUBLIC,integer
hgnc,ENSG00000227139,GENOMIC,htseq_counts.csv,ENSG00000227139.1,,PUBLIC,integer
hgnc,ENSG00000162482,GENOMIC,htseq_counts.csv,ENSG00000162482.5,,PUBLIC,integer
hgnc,ENSG00000100629,GENOMIC,htseq_counts.csv,ENSG00000100629.17,,PUBLIC,integer
hgnc,ENSG00000236513,GENOMIC,htseq_counts.csv,ENSG00000236513.1,,PUBLIC,integer
hgnc,ENSG00000141562,GENOMIC,htseq_counts.csv,ENSG00000141562.18,,PUBLIC,integer
hgnc,ENSG00000162676,GENOMIC,htseq_counts.csv,ENSG00000162676.12,,PUBLIC,integer
hgnc,ENSG00000255495,GENOMIC,htseq_counts.csv,ENSG00000255495.1,,PUBLIC,integer
hgnc,ENSG00000149260,GENOMIC,htseq_counts.csv,ENSG00000149260.18,,PUBLIC,integer
hgnc,ENSG00000230445,GENOMIC,htseq_counts.csv,ENSG00000230445.4,,PUBLIC,integer
hgnc,ENSG00000225715,GENOMIC,htseq_counts.csv,ENSG00000225715.1,,PUBLIC,integer
hgnc,ENSG00000254775,GENOMIC,htseq_counts.csv,ENSG00000254775.2,,PUBLIC,integer
hgnc,ENSG00000283436,GENOMIC,htseq_counts.csv,ENSG00000283436.1,,PUBLIC,integer
hgnc,ENSG00000167965,GENOMIC,htseq_counts.csv,ENSG00000167965.18,,PUBLIC,integer
hgnc,ENSG00000214812,GENOMIC,htseq_counts.csv,ENSG00000214812.3,,PUBLIC,integer
hgnc,ENSG00000139055,GENOMIC,htseq_counts.csv,ENSG00000139055.7,,PUBLIC,integer
hgnc,ENSG00000235192,GENOMIC,htseq_counts.csv,ENSG00000235192.1,,PUBLIC,integer
hgnc,ENSG00000244544,GENOMIC,htseq_counts.csv,ENSG00000244544.2,,PUBLIC,integer
hgnc,ENSG00000152034,GENOMIC,htseq_counts.csv,ENSG00000152034.11,,PUBLIC,integer
hgnc,ENSG00000220960,GENOMIC,htseq_counts.csv,ENSG00000220960.1,,PUBLIC,integer
hgnc,ENSG00000236319,GENOMIC,htseq_counts.csv,ENSG00000236319.2,,PUBLIC,integer
hgnc,ENSG00000137478,GENOMIC,htseq_counts.csv,ENSG00000137478.15,,PUBLIC,integer
hgnc,ENSG00000203857,GENOMIC,htseq_counts.csv,ENSG00000203857.10,,PUBLIC,integer
hgnc,ENSG00000243160,GENOMIC,htseq_counts.csv,ENSG00000243160.1,,PUBLIC,integer
hgnc,ENSG00000183169,GENOMIC,htseq_counts.csv,ENSG00000183169.6,,PUBLIC,integer
hgnc,ENSG00000149573,GENOMIC,htseq_counts.csv,ENSG00000149573.9,,PUBLIC,integer
hgnc,ENSG00000156096,GENOMIC,htseq_counts.csv,ENSG00000156096.14,,PUBLIC,integer
hgnc,ENSG00000232059,GENOMIC,htseq_counts.csv,ENSG00000232059.3,,PUBLIC,integer
hgnc,ENSG00000272068,GENOMIC,htseq_counts.csv,ENSG00000272068.1,,PUBLIC,integer
hgnc,ENSG00000130725,GENOMIC,htseq_counts.csv,ENSG00000130725.8,,PUBLIC,integer
hgnc,ENSG00000128581,GENOMIC,htseq_counts.csv,ENSG00000128581.17,,PUBLIC,integer
hgnc,ENSG00000226994,GENOMIC,htseq_counts.csv,ENSG00000226994.9,,PUBLIC,integer
hgnc,ENSG00000264451,GENOMIC,htseq_counts.csv,ENSG00000264451.1,,PUBLIC,integer
hgnc,ENSG00000166321,GENOMIC,htseq_counts.csv,ENSG00000166321.14,,PUBLIC,integer
hgnc,ENSG00000227764,GENOMIC,htseq_counts.csv,ENSG00000227764.2,,PUBLIC,integer
hgnc,ENSG00000263196,GENOMIC,htseq_counts.csv,ENSG00000263196.1,,PUBLIC,integer
hgnc,ENSG00000267640,GENOMIC,htseq_counts.csv,ENSG00000267640.6,,PUBLIC,integer
hgnc,ENSG00000283384,GENOMIC,htseq_counts.csv,ENSG00000283384.1,,PUBLIC,integer
hgnc,ENSG00000253649,GENOMIC,htseq_counts.csv,ENSG00000253649.5,,PUBLIC,integer
hgnc,ENSG00000271477,GENOMIC,htseq_counts.csv,ENSG00000271477.1,,PUBLIC,integer
hgnc,ENSG00000119888,GENOMIC,htseq_counts.csv,ENSG00000119888.11,,PUBLIC,integer
hgnc,ENSG00000261587,GENOMIC,htseq_counts.csv,ENSG00000261587.2,,PUBLIC,integer
hgnc,ENSG00000115137,GENOMIC,htseq_counts.csv,ENSG00000115137.12,,PUBLIC,integer
hgnc,ENSG00000236810,GENOMIC,htseq_counts.csv,ENSG00000236810.6,,PUBLIC,integer
hgnc,ENSG00000250696,GENOMIC,htseq_counts.csv,ENSG00000250696.5,,PUBLIC,integer
hgnc,ENSG00000105355,GENOMIC,htseq_counts.csv,ENSG00000105355.9,,PUBLIC,integer
hgnc,ENSG00000226577,GENOMIC,htseq_counts.csv,ENSG00000226577.1,,PUBLIC,integer
hgnc,ENSG00000137825,GENOMIC,htseq_counts.csv,ENSG00000137825.11,,PUBLIC,integer
hgnc,ENSG00000123843,GENOMIC,htseq_counts.csv,ENSG00000123843.13,,PUBLIC,integer
